strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_2.txt,B,e532,66.37931034482759,1.891516682394515,1,67.46428571428571
pcc9511,dilution_2.txt,B,e532,66.37931034482759,1.891516682394515,1,68.9298245614035
pcc9511,dilution_2.txt,B,e532,66.37931034482759,1.891516682394515,1,68.25
pcc9511,dilution_2.txt,B,e532,66.37931034482759,1.891516682394515,1,68.9298245614035
pcc9511,dilution_2.txt,B,e532,66.37931034482759,1.891516682394515,1,90.91525423728814
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,71.375
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,82.83928571428571
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,111.30357142857143
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,92.16071428571429
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,82.14285714285714
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,121.14285714285714
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,87.23214285714286
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,84.29824561403508
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,75.17857142857143
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,83.2280701754386
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,98.23214285714286
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,83.2280701754386
pcc9511,dilution_3.txt,A,e440,75.90963855421687,2.290487017569862,0.3,139
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,58.25
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,61.142857142857146
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,67.91071428571429
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,65.05357142857143
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,64.80357142857143
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,68.26785714285714
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,58.17857142857143
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,59.19298245614035
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,61.089285714285715
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,61.70175438596491
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,64.5
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,61.70175438596491
pcc9511,dilution_3.txt,A,e470,57.93975903614458,1.6318749030364652,0.3,80.44067796610169
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,64
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,66.875
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,69.51785714285714
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,81.10714285714286
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,72.125
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,68.71428571428571
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,62.892857142857146
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,71.42105263157895
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,67.46428571428571
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,68.9298245614035
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,68.25
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,68.9298245614035
pcc9511,dilution_3.txt,A,e532,60.825301204819276,1.5991166784040667,0.3,90.91525423728814
pcc9511,dilution_3.txt,B,e440,152.71518987341773,1.8753913295303712,0.3,71.375
pcc9511,dilution_3.txt,B,e440,152.71518987341773,1.8753913295303712,0.3,82.83928571428571
pcc9511,dilution_3.txt,B,e440,152.71518987341773,1.8753913295303712,0.3,111.30357142857143
